"millesimes";"name"
"1,5";"[evaluate] 2027C_CZ = 2027C_CX-2027C_CY"
"1,5";"[evaluate] 2027C_HA = 2027C_BA+2027C_BD+2027C_BG+2027C_BK+2027C_BN+2027C_BR+2027C_BU+2027C_BX+2027C_CA+2027C_CD+2027C_CG+2027C_CK+2027C_CX+2027C_CN+2027C_CR+2027C_CU"
"1,5";"[evaluate] 2027C_HB = 2027C_BB+2027C_BE+2027C_BH+2027C_BL+2027C_BP+2027C_BS+2027C_BV+2027C_BY+2027C_CB+2027C_CE+2027C_CH+2027C_CL+2027C_CY+2027C_CP+2027C_CS+2027C_CV"
"1,5";"[evaluate] 2027C_HC = 2027C_HA-2027C_HB"
"1,5";"[evaluate] 2027D_BV = 2027D_BA+2027D_BB+2027D_BC+2027D_BD+2027D_BE+2027D_BF+2027D_BG+2027D_BH+2027D_BJ+2027D_BK+2027D_BL+2027D_BM+2027D_BN+2027D_BP+2027D_BQ+2027D_BR+2027D_BS+2027D_BT+2027D_BU"
"1,5";"[evaluate] 2027D_CJ = 2027D_BW+2027D_BX+2027D_BY+2027D_BZ+2027D_CA+2027D_CB+2027D_CC+2027D_CD+2027D_CE+2027D_CF+2027D_CG+2027D_CH"
"1,5";"[evaluate] 2027D_CZ = 2027D_BV+2027D_CJ+2027D_CK+2027D_CL+2027D_CM+2027D_CN"
"1,5";"[evaluate] 2027D_DV = 2027D_DB+2027D_DC+2027D_DD+2027D_DE+2027D_DF+2027D_DG+2027D_DH+2027D_DJ+2027D_DK+2027D_DL+2027D_DM+2027D_DN+2027D_DP+2027D_DQ+2027D_DR+2027D_DS+2027D_DT+2027D_DU"
"1,5";"[evaluate] 2027D_EJ = 2027D_DW+2027D_DX+2027D_DY+2027D_DZ+2027D_EA+2027D_EB+2027D_EC+2027D_ED+2027D_EE+2027D_EF+2027D_EG+2027D_EH"
"1,5";"[evaluate] 2027D_EZ = 2027D_DV+2027D_EJ"
"1,5";"[evaluate] 2027D_FA = 2027D_BA"
"1,5";"[evaluate] 2027D_FB = 2027D_BB-2027D_DB"
"1,5";"[evaluate] 2027D_FC = 2027D_BC-2027D_DC"
"1,5";"[evaluate] 2027D_FD = 2027D_BD-2027D_DD"
"1,5";"[evaluate] 2027D_FE = 2027D_BE-2027D_DE"
"1,5";"[evaluate] 2027D_FF = 2027D_BF-2027D_DF"
"1,5";"[evaluate] 2027D_FG = 2027D_BG-2027D_DG"
"1,5";"[evaluate] 2027D_FH = 2027D_BH-2027D_DH"
"1,5";"[evaluate] 2027D_FJ = 2027D_BJ-2027D_DJ"
"1,5";"[evaluate] 2027D_FK = 2027D_BK-2027D_DK"
"1,5";"[evaluate] 2027D_FL = 2027D_BL-2027D_DL"
"1,5";"[evaluate] 2027D_FM = 2027D_BM-2027D_DM"
"1,5";"[evaluate] 2027D_FN = 2027D_BN-2027D_DN"
"1,5";"[evaluate] 2027D_FP = 2027D_BP-2027D_DP"
"1,5";"[evaluate] 2027D_FQ = 2027D_BQ-2027D_DQ"
"1,5";"[evaluate] 2027D_FR = 2027D_BR-2027D_DR"
"1,5";"[evaluate] 2027D_FS = 2027D_BS-2027D_DS"
"1,5";"[evaluate] 2027D_FT = 2027D_BT-2027D_DT"
"1,5";"[evaluate] 2027D_FU = 2027D_BU-2027D_DU"
"1,5";"[evaluate] 2027D_FV = 2027D_BV-2027D_DV"
"1,5";"[evaluate] 2027D_FW = 2027D_BW-2027D_DW"
"1,5";"[evaluate] 2027D_FX = 2027D_BX-2027D_DX"
"1,5";"[evaluate] 2027D_FY = 2027D_BY-2027D_DY"
"1,5";"[evaluate] 2027D_FZ = 2027D_BZ-2027D_DZ"
"1,5";"[evaluate] 2027D_GA = 2027D_CA-2027D_EA"
"1,5";"[evaluate] 2027D_GB = 2027D_CB-2027D_EB"
"1,5";"[evaluate] 2027D_GC = 2027D_CC-2027D_EC"
"1,5";"[evaluate] 2027D_GD = 2027D_CD-2027D_ED"
"1,5";"[evaluate] 2027D_GE = 2027D_CE-2027D_EE"
"1,5";"[evaluate] 2027D_GF = 2027D_CF-2027D_EF"
"1,5";"[evaluate] 2027D_GG = 2027D_CG-2027D_EG"
"1,5";"[evaluate] 2027D_GH = 2027D_CH-2027D_EH"
"1,5";"[evaluate] 2027D_GJ = 2027D_CJ-2027D_EJ"
"1,5";"[evaluate] 2027D_GK = 2027D_CK"
"1,5";"[evaluate] 2027D_GL = 2027D_CL"
"1,5";"[evaluate] 2027D_GM = 2027D_CM"
"1,5";"[evaluate] 2027D_GN = 2027D_CN"
"1,5";"[evaluate] 2027D_GZ = 2027D_CZ-2027D_EZ"
"1";"[evaluate] 2027E_CJ = 2027E_CA+2027E_CB+2027E_CC+2027E_CD+2027E_CE+2027E_CF+2027E_CG+2027E_CH+2027E_CJ+2027E_EH+2027E_EJ"
"1,5";"[evaluate] 2027E_CK = 2027E_CA+2027E_CB+2027E_CC+2027E_CD+2027E_CE+2027E_CF+2027E_CG+2027E_CH+2027E_CJ+2027E_EH+2027E_EJ"
"1,5";"[evaluate] 2027E_CN = 2027E_CL+2027E_CM"
"1,5";"[evaluate] 2027E_CR = 2027E_CP+2027E_CQ"
"1,5";"[evaluate] 2027E_DC = 2027E_CS+2027E_CT+2027E_CU+2027E_CV+2027E_CW+2027E_CX+2027E_CY+2027E_CZ+2027E_DA+2027E_DB"
"1,5";"[evaluate] 2027E_DF = 2027E_CK+2027E_CN+2027E_CR+2027E_DC+2027E_DD+2027E_DE"
"1,5";"[evaluate] 2027F_DA = 2027F_BA+2027F_CA"
"1,5";"[evaluate] 2027F_DB = 2027F_BB+2027F_CB"
"1,5";"[evaluate] 2027F_DC = 2027F_BC+2027F_CC"
"1,5";"[evaluate] 2027F_DE = 2027F_BD+2027F_CD"
